date,time,cpu_tot,cpu,cpu_usr,cpu_sys,mem_tot,mem_vsz,mem_rss,net_in,net_out
2026-03-01,15:34:22,8.000,0.003,0.003,0.000,17179869184.0,1288490188.8,30723276.8,0.0,0.0
2026-03-01,15:34:23,8.000,0.003,0.000,0.003,17179869184.0,1288490188.8,30723276.8,0.0,0.0
2026-03-01,15:34:24,8.000,0.046,0.018,0.028,17179869184.0,1288490188.8,30723276.8,171.0,155.0
2026-03-01,15:34:25,8.000,0.003,0.001,0.001,17179869184.0,1288490188.8,30723276.8,0.0,0.0
2026-03-01,15:34:26,8.000,0.003,0.000,0.002,17179869184.0,1288490188.8,30723276.8,0.0,0.0
2026-03-01,15:34:27,8.000,2.063,0.722,1.341,17179869184.0,1717986918.4,179516211.2,210973491.2,56623104.0
2026-03-01,15:34:28,8.000,3.375,1.350,2.026,17179869184.0,2362232012.8,302619033.6,420898406.4,84305510.4
2026-03-01,15:34:29,8.000,3.477,1.448,2.029,17179869184.0,2899102924.8,427504435.2,379060224.0,84724940.8
2026-03-01,15:34:30,8.000,2.973,1.063,1.910,17179869184.0,3113851289.6,341206630.4,276928921.6,101187584.0
2026-03-01,15:34:31,8.000,2.781,1.080,1.702,17179869184.0,3435973836.8,374236774.4,275041484.8,84515225.6
2026-03-01,15:34:32,8.000,3.595,1.569,2.025,17179869184.0,3972844748.8,451411968.0,365114163.2,50751078.4
2026-03-01,15:34:33,8.000,2.944,1.224,1.719,17179869184.0,4294967296.0,474795212.8,282800947.2,17301504.0
2026-03-01,15:34:34,8.000,2.660,1.136,1.524,17179869184.0,4617089843.2,516738252.8,315621376.0,67633152.0
2026-03-01,15:34:35,8.000,3.156,1.272,1.884,17179869184.0,5046586572.8,521037414.4,303562752.0,84515225.6
2026-03-01,15:34:36,8.000,2.502,1.136,1.366,17179869184.0,5368709120.0,529321164.8,276614348.8,84515225.6
2026-03-01,15:34:37,8.000,2.671,1.100,1.571,17179869184.0,5690831667.2,535612620.8,359556710.4,84620083.2
2026-03-01,15:34:38,8.000,3.016,1.274,1.742,17179869184.0,6120328396.8,541904076.8,284478668.8,84410368.0
2026-03-01,15:34:39,8.000,2.834,1.294,1.540,17179869184.0,6442450944.0,550502400.0,274412339.2,34078720.0
