date,time,rIOPS,wIOPS,r_per_s,w_per_s,used,free,total
2026-03-01,15:34:15,0.0,82.0,0.0,42991616.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:16,0.0,83.0,0.0,43515904.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:17,0.0,82.0,0.0,42991616.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:18,0.0,83.0,0.0,43515904.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:19,0.0,85.0,0.0,43515904.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:20,0.0,80.0,0.0,41943040.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:21,0.0,82.0,0.0,42991616.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:22,0.0,84.0,0.0,44040192.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:23,0.0,83.0,0.0,43515904.0,101292441.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:24,0.0,86.0,0.0,43620761.6,101397299.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:25,0.0,82.0,0.0,42991616.0,101397299.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:26,0.0,80.0,0.0,41943040.0,101397299.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:27,0.0,465.0,0.0,413034086.4,474690355.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:28,0.0,929.0,0.0,865180057.6,1288490188.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:29,0.0,871.0,0.0,817260134.4,2040109465.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:30,0.0,769.0,0.0,748683264.0,2791728742.4,21880281392742.4,21990232555520.0
2026-03-01,15:34:31,0.0,695.0,0.0,678743244.8,3328599654.4,21880281392742.4,21990232555520.0
2026-03-01,15:34:32,0.0,697.0,0.0,675912089.6,3972844748.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:33,0.0,752.0,0.0,740189798.4,4724464025.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:34,0.0,1551.0,0.0,1395864371.2,5368709120.0,21880281392742.4,21990232555520.0
2026-03-01,15:34:35,0.0,640.0,0.0,629669888.0,5905580032.0,21880281392742.4,21990232555520.0
2026-03-01,15:34:36,0.0,771.0,0.0,766194483.2,6657199308.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:37,0.0,697.0,0.0,691011584.0,7194070220.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:38,0.0,638.0,0.0,621281280.0,7838315315.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:39,0.0,1420.0,0.0,1395864371.2,8482560409.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:40,0.0,836.0,0.0,737987788.8,9126805504.0,21880281392742.4,21990232555520.0
2026-03-01,15:34:41,0.0,690.0,0.0,684615270.4,9771050598.4,21880281392742.4,21990232555520.0
2026-03-01,15:34:42,0.0,667.0,0.0,654940569.6,10307921510.4,21880281392742.4,21990232555520.0
2026-03-01,15:34:43,0.0,678.0,0.0,664902041.6,11059540787.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:44,0.0,1604.0,0.0,1395864371.2,11596411699.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:45,0.0,875.0,0.0,683042406.4,12240656793.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:46,0.0,756.0,0.0,678743244.8,12884901888.0,21880281392742.4,21990232555520.0
2026-03-01,15:34:47,0.0,688.0,0.0,644245094.4,13421772800.0,21880281392742.4,21990232555520.0
2026-03-01,15:34:48,0.0,729.0,0.0,672451788.8,14173392076.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:49,381.0,650.0,48968499.2,613312102.4,14710262988.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:50,649.0,1821.0,84305510.4,1395864371.2,15247133900.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:51,657.0,727.0,85144371.2,699400192.0,15891378995.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:52,641.0,672.0,83361792.0,647915110.4,16535624089.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:53,699.0,684.0,90387251.2,659764019.2,17072495001.6,21880281392742.4,21990232555520.0
2026-03-01,15:34:54,211.0,489.0,27367833.6,456864563.2,17501991731.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:55,84.0,2608.0,10905190.4,1181116006.4,17931488460.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:56,605.0,672.0,78643200.0,571369062.4,18468359372.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:57,678.0,2356.0,87975526.4,1610612736.0,19005230284.8,21880281392742.4,21990232555520.0
2026-03-01,15:34:58,645.0,777.0,83781222.4,640365363.2,19649475379.2,21880281392742.4,21990232555520.0
2026-03-01,15:34:59,700.0,2144.0,90072678.4,1181116006.4,20186346291.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:00,650.0,893.0,84305510.4,696149606.4,20723217203.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:01,254.0,2991.0,32400998.4,1610612736.0,21367462297.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:02,705.0,728.0,91645542.4,538338918.4,21796959027.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:03,685.0,742.0,87031808.0,628097024.0,22333829939.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:04,783.0,2641.0,97622425.6,1395864371.2,22978075033.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:05,765.0,2384.0,99614720.0,1395864371.2,23514945945.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:06,530.0,775.0,65955430.4,577241088.0,24051816857.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:07,241.0,2544.0,31037849.6,1395864371.2,24803436134.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:08,514.0,2493.0,67004006.4,1395864371.2,25447681228.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:09,785.0,1620.0,101502156.8,1181116006.4,26091926323.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:10,834.0,2163.0,108003328.0,1181116006.4,26628797235.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:11,780.0,2627.0,100768153.6,1503238553.6,27273042329.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:12,779.0,832.0,101292441.6,656198860.8,27917287424.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:13,512.0,1734.0,66479718.4,1181116006.4,28561532518.4,21880281392742.4,21990232555520.0
