datetime,insert_total,insert_original,insert_duplicate,insert_avg_latency_ms,query_count,query_failed,query_avg_latency_ms
2026-03-01 11:45:12,780,682,98,70.45,1634,0,61.23
2026-03-01 11:45:17,820,570,250,58.74,1508,0,66.2
2026-03-01 11:45:22,660,410,250,53.61,1494,0,66.56
2026-03-01 11:45:27,880,630,250,59.0,1496,0,67.55
2026-03-01 11:45:32,480,480,0,136.19,1770,0,56.35
2026-03-01 11:45:37,1060,810,250,66.06,1398,0,71.69
2026-03-01 11:45:42,540,290,250,118.24,1692,0,58.44
2026-03-01 11:45:47,940,690,250,92.24,1464,0,68.7
2026-03-01 11:45:52,900,688,212,58.53,1564,0,64.45
2026-03-01 11:45:57,700,662,38,61.34,1540,0,64.91
2026-03-01 11:46:02,560,310,250,59.04,1522,0,65.64
2026-03-01 11:46:07,840,590,250,124.17,1560,0,63.96
2026-03-01 11:46:12,780,688,92,67.41,1416,0,70.46
2026-03-01 11:46:17,480,322,158,69.54,1768,0,57.19
2026-03-01 11:46:22,820,570,250,154.65,1782,0,55.53
2026-03-01 11:46:27,880,630,250,77.56,1384,0,72.33
2026-03-01 11:46:32,1100,850,250,77.48,1312,0,76.59
2026-03-01 11:46:37,500,500,0,62.93,1662,0,60.23
2026-03-01 11:46:42,820,570,250,113.31,1370,0,73.05
2026-03-01 11:46:47,920,670,250,96.8,1504,0,66.34
2026-03-01 11:46:52,300,280,20,58.74,1540,0,64.77
2026-03-01 11:46:57,1100,838,262,99.6,1472,0,68.13
2026-03-01 11:47:02,700,482,218,113.48,1588,0,62.78
2026-03-01 11:47:07,720,470,250,69.43,1356,0,73.29
2026-03-01 11:47:12,660,548,112,82.14,1584,0,63.94
2026-03-01 11:47:17,840,702,138,127.04,1610,0,61.51
2026-03-01 11:47:22,620,370,250,122.53,1660,0,60.27
2026-03-01 11:47:27,1120,870,250,72.59,1310,0,76.44
2026-03-01 11:47:32,640,390,250,114.04,1458,0,67.23
2026-03-01 11:47:37,500,500,0,66.71,1554,0,65.47
2026-03-01 11:47:42,1100,850,250,95.08,1436,0,69.76
2026-03-01 11:47:47,340,108,232,60.77,1518,0,66.3
2026-03-01 11:47:52,660,622,38,153.0,1532,0,65.09
2026-03-01 11:47:57,920,690,230,114.26,1430,0,69.29
2026-03-01 11:48:02,900,650,250,62.43,1408,0,71.06
2026-03-01 11:48:07,600,350,250,58.75,1446,0,69.35
2026-03-01 11:48:12,760,668,92,120.83,1764,0,56.82
2026-03-01 11:48:17,760,602,158,121.42,1600,0,61.64
2026-03-01 11:48:22,900,650,250,73.39,1358,0,74.74
2026-03-01 11:48:27,600,350,250,131.13,1434,0,69.7
2026-03-01 11:48:32,480,440,40,136.87,1704,0,58.57
2026-03-01 11:48:37,920,710,210,134.21,1518,0,65.78
2026-03-01 11:48:42,1120,870,250,69.15,1348,0,74.7
2026-03-01 11:48:47,640,390,250,81.44,1228,0,80.68
2026-03-01 11:48:52,600,488,112,115.7,1492,0,67.81
2026-03-01 11:48:57,660,522,138,73.49,1514,0,65.99
2026-03-01 11:49:02,580,348,232,128.49,1616,0,61.82
2026-03-01 11:49:07,960,692,268,120.27,1384,0,70.68
2026-03-01 11:49:12,740,688,52,121.2,1478,0,66.61
2026-03-01 11:49:17,920,722,198,63.91,1538,0,67.26
2026-03-01 11:49:22,340,90,250,78.36,1582,0,63.68
2026-03-01 11:49:27,800,688,112,110.54,1312,0,75.75
2026-03-01 11:49:32,1000,750,250,113.36,1394,0,70.86
2026-03-01 11:49:37,500,362,138,99.56,1602,0,62.79
2026-03-01 11:49:42,920,670,250,102.12,1322,0,76.09
